ParamSet	Number of demes	Num Sampled Pops	Est. Fst	Sample Size	Model	Loci
163	50	25	0.8	50	0	4000
164	25	13	0.8	50	0	4000
165	10	5	0.8	50	0	4000
166	100	25	0.8	50	0	4000
167	75	19	0.8	50	0	4000
168	50	13	0.8	50	0	4000
169	25	6	0.8	50	0	4000
170	10	3	0.8	50	0	4000
171	100	10	0.8	50	0	4000
172	75	8	0.8	50	0	4000
173	50	5	0.8	50	0	4000
174	25	3	0.8	50	0	4000
175	10	1	0.8	50	0	4000
176	100	100	0.8	50	1	4000
177	75	75	0.8	50	1	4000
178	50	50	0.8	50	1	4000
179	25	25	0.8	50	1	4000
180	10	10	0.8	50	1	4000
181	100	75	0.8	50	1	4000
182	75	56	0.8	50	1	4000
183	50	38	0.8	50	1	4000
184	25	19	0.8	50	1	4000
185	10	8	0.8	50	1	4000
186	100	50	0.8	50	1	4000
187	75	38	0.8	50	1	4000
188	50	25	0.8	50	1	4000
189	25	13	0.8	50	1	4000
190	10	5	0.8	50	1	4000
191	100	25	0.8	50	1	4000
192	75	19	0.8	50	1	4000
193	50	13	0.8	50	1	4000
194	25	6	0.8	50	1	4000
195	10	3	0.8	50	1	4000
196	100	10	0.8	50	1	4000
197	75	8	0.8	50	1	4000
198	50	5	0.8	50	1	4000
199	25	3	0.8	50	1	4000
200	10	1	0.8	50	1	4000
