pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.15	0.233185	0.184285	0.209702	0.105798	0.191762	0.13475
0.15	0.200849	0.16414	0.182766	0.092221	0.143954	0.11325
0.15	0.241232	0.207331	0.140532	0.0709255	0.132944	0.1403
0.15	0.2134	0.174609	0.181778	0.0917226	0.152123	0.12145
0.15	0.25458	0.206537	0.188714	0.0952194	0.188403	0.1497
0.15	0.219425	0.173478	0.209398	0.105645	0.180185	0.12545
0.15	0.244244	0.190006	0.222066	0.112029	0.2127	0.1424
0.15	0.21875	0.179534	0.179273	0.0904601	0.153788	0.125
0.15	0.217323	0.168016	0.226886	0.114458	0.193364	0.12405
0.15	0.227973	0.187329	0.178285	0.0899618	0.159389	0.1312
0.15	0.226644	0.179699	0.20713	0.104502	0.184097	0.1303
0.15	0.246955	0.210635	0.147071	0.0742234	0.142431	0.1443
0.15	0.223901	0.180626	0.19328	0.0975211	0.169709	0.12845
0.15	0.206699	0.174787	0.15439	0.0779137	0.125145	0.11705
0.15	0.210592	0.176085	0.163856	0.0826871	0.13532	0.1196
0.15	0.232381	0.188171	0.190247	0.0959921	0.173371	0.1342
0.15	0.2186	0.15918	0.271821	0.137095	0.23302	0.1249
0.15	0.226866	0.173003	0.237419	0.119765	0.211224	0.13045
0.2	0.333478	0.246243	0.261593	0.131943	0.27261	0.21145
0.2	0.303749	0.23659	0.221102	0.111543	0.209873	0.18675
0.2	0.347703	0.270091	0.223215	0.112608	0.24254	0.22405
0.2	0.299845	0.242188	0.192292	0.0970229	0.180181	0.18365
0.2	0.281209	0.219044	0.221065	0.111524	0.194267	0.16925
0.2	0.325241	0.260997	0.197528	0.0996622	0.200763	0.2044
0.2	0.331452	0.240563	0.274214	0.138301	0.284028	0.2097
0.2	0.31982	0.260191	0.186447	0.0940765	0.186342	0.19985
0.2	0.310087	0.244393	0.211859	0.106885	0.205296	0.19185
0.2	0.338006	0.263565	0.220235	0.111106	0.232627	0.2154
0.2	0.281539	0.224726	0.201796	0.101813	0.177542	0.1695
0.2	0.293018	0.241519	0.175754	0.0886861	0.160935	0.1783
0.2	0.334917	0.260858	0.221127	0.111556	0.231436	0.2127
