pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.113855	0.100262	0.119391	0.0608396	0.0755182	0.0606
0.1	0.131575	0.10162	0.227663	0.115885	0.166415	0.0708
0.1	0.135342	0.102276	0.244314	0.12434	0.1837	0.073
0.1	0.13329	0.111852	0.160834	0.0819238	0.119097	0.0718
0.1	0.158201	0.121798	0.230105	0.117126	0.202238	0.0866
0.1	0.145855	0.11559	0.207499	0.105643	0.168137	0.0792
0.1	0.160677	0.126733	0.211255	0.107551	0.188577	0.0881
0.1	0.188897	0.136296	0.278465	0.141671	0.292229	0.1056
0.1	0.112624	0.094393	0.161875	0.082453	0.101283	0.0599
0.1	0.136366	0.107882	0.20888	0.106345	0.158245	0.0736
0.1	0.188897	0.147352	0.219936	0.111961	0.230807	0.1056
0.1	0.125368	0.11097	0.114848	0.0585274	0.0799907	0.0672
0.1	0.14248	0.123596	0.13254	0.067531	0.104913	0.0772
0.1	0.091392	0.07315	0.199602	0.101631	0.101344	0.048
0.1	0.103416	0.083089	0.196554	0.100082	0.112927	0.0547
0.1	0.156214	0.137482	0.119911	0.0611041	0.104065	0.0854
0.1	0.127443	0.103434	0.188389	0.0959326	0.133383	0.0684
0.1	0.0664333	0.058706	0.116316	0.0592747	0.0429293	0.0344
0.1	0.159027	0.116479	0.267553	0.136135	0.236379	0.0871
0.1	0.201081	0.140522	0.301167	0.153186	0.336438	0.1134
0.1	0.105728	0.092926	0.121084	0.0617015	0.0711222	0.056
0.1	0.13875	0.11903	0.142126	0.0724083	0.109556	0.075
0.1	0.145855	0.108518	0.255986	0.130265	0.207426	0.0792
0.1	0.126752	0.107376	0.152865	0.0778711	0.107644	0.068
0.1	0.197825	0.152393	0.229656	0.116898	0.252398	0.1113
0.1	0.127961	0.102345	0.200184	0.101926	0.142309	0.0687
0.1	0.114909	0.086706	0.245438	0.124911	0.156684	0.0612
0.1	0.108741	0.084699	0.221097	0.112551	0.133569	0.0577
0.1	0.175988	0.150269	0.146138	0.0744493	0.142881	0.0975
0.1	0.127098	0.086136	0.322284	0.163892	0.227564	0.0682
0.1	0.0957197	0.08239	0.139257	0.0709489	0.0740538	0.0504
0.1	0.125888	0.108183	0.140637	0.071651	0.0983583	0.0675
0.1	0.165765	0.120816	0.271162	0.137966	0.249717	0.0912
0.1	0.137899	0.121469	0.119148	0.0607162	0.0912806	0.0745
0.1	0.137559	0.115721	0.158754	0.0808658	0.121322	0.0743
