pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.18	0.0906275	0.496514	0.148684	0.213085	0.0692929
0.1	0.18	0.132417	0.264352	0.133819	0.268839	0.100505
0.1	0.18	0.107655	0.401915	0.09255	0.135852	0.0711111
0.1	0.18	0.0937052	0.479415	0.11088	0.148342	0.0643434
0.1	0.18	0.13549	0.247279	0.12057	0.239189	0.0990909
0.1	0.18	0.100237	0.443127	0.159912	0.261847	0.080101
0.1	0.18	0.108223	0.39876	0.0620926	0.0852521	0.0661616
0.1	0.18	0.0833012	0.537216	0.123022	0.151024	0.0586869
0.1	0.18	0.115373	0.359037	0.107654	0.175871	0.079899
0.1	0.18	0.106898	0.406124	0.0839278	0.119793	0.0689899
0.1	0.18	0.145748	0.190287	0.111112	0.231349	0.104646
0.1	0.18	0.0897092	0.501615	0.109724	0.140118	0.0612121
0.1	0.18	0.0788996	0.561669	0.0732875	0.075283	0.0485859
0.1	0.18	0.127949	0.289171	0.129882	0.249446	0.0955556
0.1	0.18	0.0938644	0.478531	0.113606	0.153321	0.0649495
0.1	0.18	0.125842	0.300879	0.0926377	0.158986	0.0843434
0.1	0.18	0.0960759	0.466245	0.127563	0.182816	0.0692929
0.1	0.18	0.113055	0.371918	0.0675723	0.0981458	0.070303
0.1	0.18	0.101731	0.434828	0.0974811	0.136872	0.0677778
0.1	0.18	0.120263	0.331871	0.102464	0.17221	0.0824242
0.1	0.18	0.105116	0.41602	0.121437	0.187331	0.0750505
0.1	0.18	0.0956826	0.46843	0.104978	0.141266	0.0647475
0.1	0.18	0.113854	0.36748	0.104119	0.166357	0.0779798
0.1	0.18	0.0989884	0.450065	0.0778088	0.101352	0.0625253
0.1	0.18	0.0975023	0.458321	0.100365	0.136039	0.0652525
0.1	0.18	0.158883	0.117318	0.129761	0.309362	0.122222
0.1	0.18	0.101128	0.438178	0.134897	0.20758	0.0748485
0.1	0.18	0.073289	0.592839	0.109785	0.114552	0.0493939
0.1	0.18	0.122684	0.31842	0.137553	0.258667	0.0933333
0.1	0.18	0.107271	0.404049	0.0720087	0.100268	0.0671717
0.1	0.18	0.120324	0.331531	0.103147	0.173744	0.0826263
0.1	0.18	0.0976247	0.45764	0.105537	0.145106	0.0662626
0.1	0.18	0.10528	0.415111	0.120377	0.185467	0.0749495
0.1	0.18	0.10987	0.389612	0.10036	0.153284	0.0742424
0.1	0.18	0.13714	0.238113	0.119398	0.239011	0.100101
0.1	0.18	0.115898	0.35612	0.121946	0.20769	0.0836364
0.1	0.18	0.125234	0.304255	0.102791	0.180048	0.0862626
0.1	0.18	0.102603	0.429982	0.0883337	0.122312	0.0667677
0.1	0.18	0.0882767	0.509574	0.167637	0.24736	0.0715152
0.1	0.18	0.112522	0.374877	0.0962627	0.149048	0.0753535
0.1	0.18	0.120415	0.331029	0.110205	0.189136	0.0843434
0.1	0.18	0.0775069	0.569406	0.13507	0.159374	0.0562626
0.1	0.18	0.101679	0.435117	0.144342	0.229255	0.0774747
0.1	0.18	0.145514	0.191588	0.12721	0.275862	0.109596
0.1	0.18	0.139744	0.223642	0.108655	0.215552	0.0990909
0.1	0.18	0.10266	0.429667	0.143041	0.228544	0.0779798
0.1	0.18	0.117551	0.346937	0.126367	0.220873	0.0860606
0.1	0.18	0.13315	0.26028	0.078579	0.13793	0.0864646
0.1	0.18	0.0940021	0.477766	0.132125	0.187564	0.0685859
0.1	0.18	0.118818	0.339897	0.108984	0.183983	0.0828283
0.1	0.18	0.117934	0.344812	0.0956768	0.15504	0.0791919
0.1	0.18	0.122259	0.320784	0.0913033	0.151738	0.0814141
