pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.137559	0.130182	0.053632	0.0273481	0.0409862	0.0743
0.1	0.213324	0.197009	0.076483	0.0389913	0.0906421	0.1214
0.1	0.201081	0.182801	0.090911	0.04634	0.101558	0.1134
0.1	0.177676	0.16611	0.065096	0.0331904	0.0642558	0.09855
0.1	0.191966	0.177269	0.076559	0.0390303	0.0816486	0.10755
0.1	0.18056	0.166558	0.077545	0.0395325	0.0777861	0.10035
0.1	0.157622	0.143634	0.088745	0.045237	0.0777118	0.08625
0.1	0.182475	0.172115	0.056775	0.0289498	0.0575552	0.10155
0.1	0.21393	0.187327	0.124352	0.0633644	0.147792	0.1218
0.1	0.178398	0.162673	0.088148	0.0449333	0.0873639	0.099
0.1	0.167561	0.157479	0.060174	0.0306824	0.0560162	0.0923
0.1	0.150719	0.140851	0.065474	0.0333828	0.0548232	0.0821
0.1	0.170003	0.158659	0.066729	0.0340222	0.0630229	0.0938
0.1	0.151805	0.143459	0.054979	0.0280349	0.0463674	0.08275
0.1	0.175665	0.162383	0.075612	0.0385478	0.0737912	0.0973
0.1	0.160017	0.150003	0.062583	0.0319099	0.0556357	0.0877
0.1	0.193299	0.168774	0.126873	0.0646474	0.136247	0.1084
0.1	0.181678	0.168818	0.070782	0.0360873	0.0714419	0.10105
0.1	0.205932	0.181165	0.120267	0.0612857	0.137594	0.11655
0.1	0.193221	0.184039	0.047517	0.0242317	0.0510072	0.10835
0.1	0.17486	0.163793	0.063291	0.0322704	0.0614834	0.0968
0.1	0.164456	0.156289	0.049659	0.0253233	0.0453704	0.0904
0.1	0.197514	0.179402	0.0917	0.0467422	0.100623	0.1111
0.1	0.17968	0.165683	0.077899	0.0397129	0.0777607	0.0998
0.1	0.190079	0.171695	0.096718	0.0492973	0.102134	0.10635
0.1	0.1808	0.167437	0.073908	0.0376797	0.0742361	0.1005
0.1	0.173406	0.163529	0.056964	0.0290463	0.0548771	0.0959
0.1	0.185258	0.164323	0.113003	0.0575881	0.116304	0.1033
0.1	0.172031	0.159669	0.071861	0.0366367	0.0686791	0.09505
0.1	0.186447	0.171898	0.078035	0.0397822	0.0808302	0.10405
0.1	0.163472	0.150514	0.07927	0.0404112	0.0719912	0.0898
0.1	0.165111	0.151319	0.08353	0.0425811	0.0766207	0.0908
0.1	0.198834	0.18525	0.068321	0.0348336	0.0754702	0.11195
0.1	0.159605	0.152095	0.047055	0.0239962	0.0417236	0.08745
0.1	0.213854	0.191268	0.105612	0.0538259	0.125476	0.12175
0.1	0.159688	0.151648	0.050345	0.0256731	0.0446639	0.0875
0.1	0.186843	0.171148	0.084004	0.0428224	0.0871973	0.1043
0.1	0.163308	0.154873	0.051653	0.0263396	0.0468629	0.0897
0.1	0.178478	0.166617	0.066459	0.0338846	0.0658969	0.09905
0.1	0.232161	0.212333	0.085408	0.0435376	0.110158	0.13405
0.1	0.204473	0.187197	0.084494	0.0430721	0.0959821	0.1156
0.1	0.168458	0.156671	0.06997	0.0356736	0.0654834	0.09285
0.1	0.187476	0.171928	0.082935	0.042278	0.0863796	0.1047
0.1	0.130286	0.123028	0.05571	0.0284074	0.0403236	0.07005
0.1	0.18072	0.166245	0.080093	0.0408303	0.080413	0.10045
0.1	0.192672	0.180761	0.061817	0.0315197	0.0661694	0.108
0.1	0.169759	0.159524	0.060292	0.0307422	0.0568617	0.09365
0.1	0.19502	0.17405	0.107525	0.0547996	0.116497	0.1095
0.1	0.185338	0.171696	0.073602	0.0375241	0.075785	0.10335
0.1	0.171139	0.157384	0.080376	0.0409745	0.0764194	0.0945
0.1	0.206699	0.189902	0.08126	0.0414249	0.093313	0.11705
0.1	0.175182	0.164017	0.063734	0.0324961	0.0620278	0.097
0.1	0.188582	0.170347	0.096696	0.0492863	0.101307	0.1054
0.1	0.192594	0.172522	0.104219	0.0531163	0.11151	0.10795
0.1	0.176148	0.162294	0.078652	0.0400965	0.0769693	0.0976
0.1	0.191652	0.181473	0.053113	0.0270838	0.0565511	0.10735
0.1	0.210592	0.194699	0.075469	0.0384751	0.0882954	0.1196
0.1	0.211352	0.197831	0.063974	0.0326184	0.0751166	0.1201
0.1	0.149883	0.137037	0.085706	0.0436894	0.071366	0.0816
0.1	0.197902	0.18339	0.073332	0.0373864	0.0806256	0.11135
0.1	0.149464	0.138149	0.075708	0.0385966	0.0628645	0.08135
0.1	0.157374	0.149403	0.050648	0.0258272	0.044281	0.0861
0.1	0.166337	0.15805	0.04982	0.0254055	0.0460386	0.09155
